,Drug name,Analyte,Specimen,Population,Pregnancy stage,Subject N,Parameter type,Unit,Value,Summary Statistics,Variation type,Variation value,Interval type,Lower limit,High limit,P value
27,N/A,unknown,N/A,Overall,N/A,63,T½Beta,hr,15.1,Median,N/A,N/A,N/A,N/A,N/A,N/A
28,N/A,unknown,N/A,Overall,N/A,63,Vdss,L/kg,1.48,Mean,SD,0.54,Range,0.49,3.40,N/A
29,N/A,unknown,N/A,Overall,N/A,63,Vdss,L/kg,1.37,Median,N/A,N/A,N/A,N/A,N/A,N/A
30,N/A,N/A,Plasma,N/A,N/A,15,AUC0−∞,ng*hr/mL,822.5,Mean,Standard Deviation (SD),706.1,Range,253.3,3202.5,N/A
31,N/A,N/A,Plasma,N/A,N/A,15,AUC0−∞,ng*hr/mL,601.5,Median,N/A,N/A,N/A,N/A,N/A,N/A
32,N/A,N/A,Plasma,N/A,N/A,15,CL,mL/min/kg,49.33,Mean,Standard Deviation (SD),30.83,Range,3.33,131.50,N/A
33,N/A,N/A,Plasma,N/A,N/A,15,CL,mL/min/kg,41.5,Median,N/A,N/A,N/A,N/A,N/A,N/A
34,N/A,N/A,Plasma,N/A,N/A,15,CL,mL/min/m,31.95,Mean,Standard Deviation (SD),13.99,Range,5.5,67.5,N/A
35,N/A,N/A,Plasma,N/A,N/A,15,CL,mL/min/m,32.34,Median,N/A,N/A,N/A,N/A,N/A,N/A
36,N/A,N/A,Plasma,N/A,N/A,15,Cmax,ng/mL,56.1,Mean,Standard Deviation (SD),44.9,Range,29.3,209.6,N/A
37,N/A,N/A,Plasma,N/A,N/A,15,Cmax,ng/mL,42.2,Median,N/A,N/A,N/A,N/A,N/A,N/A
38,N/A,N/A,Plasma,N/A,N/A,15,T1/2,hr,20.5,Mean,Standard Deviation (SD),10.2,Range,9.5,47.0,N/A
39,N/A,N/A,Plasma,N/A,N/A,15,T1/2,hr,18.1,Median,N/A,N/A,N/A,N/A,N/A,N/A
40,N/A,N/A,Plasma,N/A,N/A,15,Vdz,L/kg,1.92,Mean,Standard Deviation (SD),0.84,Range,0.33,4.05,N/A
41,N/A,N/A,Plasma,N/A,N/A,15,Vdz,L/kg,1.94,Median,N/A,N/A,N/A,N/A,N/A,N/A
